"""urllink marcy my mother my friend and me STRONG! """,1
"""urllink my school """,1
"""we had an interesting cross cultural workshop today about why israeli are the way they are and where they coming from and how to deal with them and adjust to living here some of it was pretty heavy so here what i wrote as i was processing it all israel is a heavy place the heat and weight come down on you the second your foot touches holy ground i feel it pressing a burden i am not prepared to carry how can anyone be ready for a place like this the quiet sadness the silent pain a country in mourning living day to day and here i am will i be crushed by this or will i learn to share the burden to take part of it upon myself and live here day to day without falling apart will i grow the thick sabra skin i must i think if i am to survive this if i am to move on """,1
"""last night i saw a movie at the film festival entitled it was about the security fence and it was very one sided not very pro the fence it was incredibly depressing very focused on the disadvantages cost and the compromises to the palestinians rights then at the end they showed images of the palestinians climbing over parts of the wall or through the barbed wire to get to work not to bomb buses mind you DOTS but still DOTS the worst part was that i was just as disturbed by those images as i was by the situation and the disadvantages the palestinian people most of whom are not terrorists are facing what kind of person does that make me that i concerned for their rights but only until i faced with my own vulnerability when did my right to live become more important than their rights to freedom """,1
"""as some of you may have read or seen on the news there was a bomb in tel aviv yesterday since i am not in tel aviv i just fine so not to worry you would believe how many people parents called to check in on them DOTS we are in a whole other city STRONG! however i wo lie and say that i am unaffected any one who knows me knows how i can let optimism get the best of me i feel like i let the quiet and uneventfulness of the past few months trick me into thinking i was completely safe and with being able to see the security wall from my window DOTS i think i created a false sense of safety for myself and maybe that was necessary in some ways DOTS to get my head around being here and living here DOTS but i feel like if it can happen there it can happen here and to be honest with myself and all of you it probably will now that not to say that i think i in imminent danger i do take buses and that helps my chances a lot i not worried about being directly involved it way more likely that i get hit by a car because the traffic related deaths are way higher here than terrorist related deaths i worried about hearing an explosion about hearing sirens about how it feel to be in a city when something like that happens our interns tell us that the first one is the worst i ca imagine going through it once let alone multiple times i guess time will tell and i am bracing myself because to think otherwise is to lie to myself about where i am living i am not writing this so that you will all worry i do want you all to worry because i am going to be just fine but this website is to share with you my year not just what i doing but what i thinking and how i feeling and that where i am right now god willing the year will go by peacefully and i wo have a year that comes close to resembling the one that my intern sari had when they all had to leave early DOTS god willing i wo have to deal with any of this i was too far from tel aviv to hear the explosion or see the ambulances drive by i was too far to even know it happened until hours later yet somehow that explosion shattered a part of my life too my false sense of security and sadly for the moment my optimism """,1
"""last night a group of us did havdallah in the park by the windmill it was fun and beautiful and creative and it made us feel like we had really made it which we have STRONG! afterwards we went out for dinner to olive and fish which is a great restarant near school and the park and after that we went to a party at a classmates house all around a great evening here are some pictures as well as one that i took earlier in the day of a camel passing through the park as we were hanging out there """,1
"""urllink the camel in the park """,1
"""urllink our havdallah group at olive and fish """,1
"""here are pictures from shabbat dinner we had a good time """,1
"""urllink us all chatting in my apt """,1
"""urllink seth playing my guitar """,1
"""urllink ely marci jill jason dan seth benny katie and i at my house for shabbat """,1
"""urllink katie and i """,1
"""i participated in something amazing last night every year at this time there is an art fair in jerusalem traditionally the artists set up on ben yehuda and there is music and dancing and lots of food and large crowds since the security situation began a few years ago the festival was moved to the gates of the old city this year it was back on ben yehuda for the first time in years everyone turned out the crowds were large and excited and i told it was an evening to come out and say we are not afraid STRONG! and so we did a group of us went and shopped and ate and sang and danced in the street and it was fantastic it was ben yehuda the way i rembd it crowded and thriving and secure there were security guards at the entrance to the festival and circulating through the crowds it felt great to be there and somehow standing up to danger none of us felt unsafe it one thing not to take a bus it another thing not to live your life """,1
"""urllink lisa rachel c me katie and yossi one of our interns """,1
"""we had such a blast last night the interns planned a social event for us at beit ticho which is a very cool restaraunt near ben yehuda it in a large outdoor courtyard with trees and lights and it just beautiful you pay shekels for all you can eat wine cheese breads salads and pasta it was great STRONG! we had a bunch of small tables and we all sort of circulated and got to know each other i met new people and got to know some of the other people i already met much better there was lots of picture taking and at one point or of us got very excited and carried away beaming things to each other on our palm pilots everything you heard about huc students and palm pilots is true we have them we use them and we are slightly obsessed STRONG! anyway it was a great evening here are the pictures """,1
"""urllink katie me and dan """,1
"""urllink katie and i """,1
"""urllink dalia me and rachel such a great gal STRONG! """,1
"""i had quite an exprinc today STRONG! my friends rachel and dan and i met outside my apt to go to the mall while we were waiting outside for the cab becuase we do take buses we saw DOTS coming up the street towards us DOTS two israeli arab boys riding DOTS a donkey STRONG! i could believe it now granted this is israel but this is jerusalem which is a city and i do know about you but i never seen a donkey in a residential part of a city STRONG! i certainly never expected to see one anyway STRONG! it was funny and incredible luckily rachel knows a little arabic and the boys let me take a picture to document the occasion in case no one believes me so here it is STRONG! i register at school tomorrow i will continue to post as amazing things happen """,1
"""urllink these israeli arab boys were riding a donkey down my street STRONG! """,1
"""urllink my first group of shabbat guests STRONG! rachel rachel aaron liz dan katie and rebecca STRONG! """,1
"""well after much preparation and lots of cooking i hosted my first shabbat dinner in my new home STRONG! in addition to my housemate rachel b and her friend katie who arrived this morning i had rachel k and dan over whom i introduced previously and also rachel friend rebecca and aaron and liz kaplan who arrived on rachel b katie and aaron are all in the cantorial program with me so it was great for us all to get a chance to meet each other shabbat was lovely rachel had come over yesterday to help prepare and cook and the lasagne that i made and the stuffed peppers that she made were both very well recieved i attempted carrot soup but it did really DOTS soup DOTS and dan brought a gorgeous salad with the words shabbat shalom carved in hebrew letters out of cuccumber very creative STRONG! we all had a great time and got along really well and so it begins tomorrow there a picnic that dan and rachel k put together and even more people are coming ca wait to meet them all STRONG! anyway here are some pictures from dinner enjoy STRONG! """,1
"""urllink katie dan rachel k and liz """,1
"""what a night STRONG! tonight the social action committee of which i am a part ran a beit cafe coffee house fundraiser with a talent show and silent auction it was fantastic STRONG! the talent acts were great people sang and did funny things anna can cross her toes and ari can play hava nagila on his head STRONG! and the silent auction which i organized went really well all together we raised about nis new israeli shekels which is about us dollars STRONG! what a great feeling STRONG! throughout the evening i had great moments where i look around and be amazed at my fellow classmates if we can have a night like this organized in a few days with a few people and a lot of generosity and talent imagine what we will do and accomplish over the years as we sang and laughed and did mitzvot together i looked around and tried to imagine looking back on this years down the road i can not quite imagine that yet right now it enough to just wonder at and about who will are becomming every day i see our potential individually and collectively a little more clearly i ca wait to continue doing amazing things with these people i am so lucky to be a part of this pictures of tonight and the galillee trip to be posted tomorrow after i steal them from katie STRONG! """,1
"""on wednesday we ended ulpan early and boarded buses to the gallilee for a day adventure we travelled towards the north of israel making stops along the way to learn about the first aliyah we went to the rothchild gardens which were beautiful and then to the first aliyah museum in zichron which is a beautiful town to which i had never been to before what a view STRONG! we stayed at a kibbutz near the golan heights where we had evening services where the rooms were super clean i roomed with katie marcy and lisa and where the breakfast was typically israeli then the real fun began we boarded the buses and headed to the jordan river where we went rafting STRONG! so much fun STRONG! the rafts were big and the rapids if you could call them that were miniscule and for the first half of the trip before the tiny rapids began we were alowed to jump in each other boats and thrown people into the water and swim around i did of course get thrown in thanks joel STRONG! but it was refreshing and it made it all the more fun to watch other people get dumped in as well i rafted with rachel david tal sadie and josh super good times after that we had a fantastic lunch at a restaraunt on lake kineret so gorgeous and then went to the cemetary where rachel the poet and naomi shemer are burried to learn about the aliyah seeing their gravestones was moving as i know their poetry and music and have known of them as important israeli figures for most of my life at the end of the day we took the buses back to jerusalem it was good to be home mostly cause we all smelled like the jordan river and really needed to shower STRONG! pictures to follow """,1
